experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.67945;0.69181;0.686941;0.687365;1.0641509000000079e-05;0.003262132584675258;77;80;78.4;78.0;1.44;1.2
1;ES100;0.6821699999999999;0.68934;0.686248;0.6868650000000001;4.741396000000101e-06;0.002177474684123813;125;127;126.6;127.0;0.44000000000000006;0.66332495807108
2;ES1000;0.66832;0.6732600000000001;0.671334;0.67104;2.049384000000076e-06;0.0014315669736341629;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.6705399999999999;0.6843899999999999;0.678234;0.67858;2.0056404000000062e-05;0.004478437674010889;28;30;28.4;28.0;0.44000000000000006;0.66332495807108
4;LR001;0.6806800000000001;0.69058;0.6863719999999999;0.68761;1.0544615999999838e-05;0.0032472474497641595;122;132;127.4;127.5;7.4399999999999995;2.727636339397171
5;LR0001;0.67351;0.67994;0.676626;0.676355;3.059083999999957e-06;0.0017490237276835204;965;1055;1014.4;1020.5;645.24;25.401574754333637
6;LR00001;0.6663399999999999;0.6754899999999999;0.671035;0.6709099999999999;6.399245000000003e-06;0.0025296729037565316;8929;9684;9268.1;9234.0;54869.69;234.2428013835217
7;DO01;0.68612;0.6913199999999999;0.688598;0.6888449999999999;3.110835999999911e-06;0.0017637562189826324;72;75;73.9;74.0;0.89;0.9433981132056604
8;DO02;0.68513;0.69206;0.68793;0.68761;3.5252799999999384e-06;0.0018775729013809127;73;77;74.5;74.5;1.65;1.284523257866513
9;DO03;0.68637;0.69107;0.688375;0.68798;2.1833849999999428e-06;0.0014776281670298326;75;78;76.1;76.0;0.8899999999999999;0.9433981132056604
10;DO04;0.6856300000000001;0.68934;0.687384;0.68711;1.4248439999999408e-06;0.0011936682956332303;75;79;76.8;77.0;2.16;1.469693845669907
11;DO05;0.68415;0.68884;0.686594;0.68674;2.6349040000000602e-06;0.0016232387378325038;76;80;78.2;78.0;1.7600000000000002;1.32664991614216
12;DO06;0.6834;0.6895899999999999;0.685259;0.6842699999999999;3.565028999999994e-06;0.0018881284384278506;78;82;79.8;80.0;1.56;1.2489995996796797
13;DO07;0.6804399999999999;0.69206;0.6861740000000001;0.6859999999999999;7.929624000000107e-06;0.002815958806516904;81;88;82.8;82.0;4.36;2.08806130178211
14;DO08;0.6792;0.68835;0.684121;0.684885;9.85160900000005e-06;0.003138727289842182;85;89;87.2;87.5;1.3599999999999999;1.16619037896906
15;DO09;0.67771;0.68761;0.681968;0.6811750000000001;1.07488560000001e-05;0.003278544799144904;94;107;98.7;98.5;12.810000000000002;3.5791060336346563
16;HD50;0.67475;0.68093;0.678655;0.679195;3.7480050000000456e-06;0.0019359764977912427;123;140;131.3;131.5;39.21;6.261788881781308
17;HD350;0.68266;0.68983;0.687458;0.687605;4.4919359999999605e-06;0.0021194187882530345;63;67;65.2;65.5;1.7599999999999998;1.3266499161421599
18;HD500;0.68612;0.69107;0.688029;0.6872400000000001;3.2940889999999643e-06;0.0018149625340485582;56;58;57.0;57.0;0.6;0.7745966692414834
