experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.96939;0.9735;0.9716299999999999;0.9721299999999999;2.1485800000000025e-06;0.00146580353390214;85;99;92.6;92.5;18.639999999999997;4.31740662898458
1;ES100;0.9680200000000001;0.9707600000000001;0.9693909999999999;0.96939;1.0442489999999525e-06;0.0010218850228866027;141;149;144.7;144.5;7.01;2.6476404589747453
2;ES1000;0.9643700000000001;0.9680200000000001;0.9662390000000002;0.96619;1.185409000000021e-06;0.0010887648965685938;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.9611700000000001;0.96711;0.964961;0.96505;2.591208999999916e-06;0.0016097232681426693;30;37;32.3;32.0;4.01;2.0024984394500787
4;LR001;0.9721299999999999;0.9744200000000001;0.97364;0.97373;5.471400000000615e-07;0.0007396891238892603;138;163;145.5;146.0;56.25;7.5
5;LR0001;0.96985;0.9721299999999999;0.9712219999999998;0.9716799999999999;5.419159999999332e-07;0.0007361494413500109;1146;1258;1198.2;1198.0;1350.56;36.74996598637882
6;LR00001;0.96939;0.9712200000000001;0.9708530000000002;0.97099;2.848410000000332e-07;0.0005337049746817367;8655;9426;9006.5;9000.5;34569.05;185.927539649187
7;DO01;0.9707600000000001;0.97396;0.972452;0.9723599999999999;1.0031360000000065e-06;0.0010015667726117946;82;90;87.3;89.0;8.41;2.9
8;DO02;0.9707600000000001;0.9735;0.972132;0.9721299999999999;6.679559999999463e-07;0.0008172857517416697;86;92;88.9;88.5;5.6899999999999995;2.3853720883753127
9;DO03;0.97031;0.97396;0.9717690000000001;0.9714499999999999;1.241528999999973e-06;0.0011142392023259517;82;93;90.2;91.0;9.560000000000002;3.0919249667480617
10;DO04;0.97031;0.9735;0.9724979999999999;0.97259;1.071716000000069e-06;0.0010352371708937374;84;98;90.1;90.0;18.689999999999998;4.323193264243457
11;DO05;0.97031;0.9744200000000001;0.9727269999999999;0.972815;1.8369810000000771e-06;0.0013553527216190171;84;97;91.6;92.5;11.84;3.4409301068170506
12;DO06;0.9716799999999999;0.9744200000000001;0.972955;0.973275;7.408450000001082e-07;0.000860723532849026;82;96;88.7;89.0;17.009999999999998;4.124318125460256
13;DO07;0.9712200000000001;0.9735;0.97227;0.9721299999999999;5.443999999999804e-07;0.0007378346698278554;92;105;97.7;95.0;18.21;4.267317658670374
14;DO08;0.97031;0.9744200000000001;0.9724540000000002;0.97259;1.5860840000000158e-06;0.0012593982690158089;87;106;95.3;96.0;30.810000000000002;5.550675634551167
15;DO09;0.9680200000000001;0.9748700000000001;0.9719050000000001;0.9719049999999999;3.4731849999999922e-06;0.00186364830373115;94;113;102.7;103.0;28.21;5.3113086899558
16;HD50;0.96665;0.97396;0.9714030000000001;0.9714499999999999;3.5151209999999686e-06;0.0018748655951827504;126;167;149.5;152.0;167.45;12.940247292845681
17;HD350;0.96985;0.97305;0.9714030000000001;0.9712200000000001;1.0944809999999504e-06;0.0010461744596385206;73;79;76.0;75.5;4.2;2.04939015319192
18;HD500;0.9689399999999999;0.9712200000000001;0.970307;0.97031;4.996010000000723e-07;0.0007068245892723825;65;72;68.9;69.0;7.089999999999999;2.662705391138869
