Dataset;Experiment;Experiment Name;Experiment Mean;Experiment Std;Original Mean;Original Std;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Higher Mean;Difference (Experiment-Original);Equal Variance?
MR;0;ES10;0.7593;0.0008;0.7674;0.002;Reject H0;0.03;11.8593;5.5468687718612014e-08;100.0;Original;-0.0081;False
MR;1;ES100;0.7235;0.0011;0.7674;0.002;Reject H0;0.03;60.8059;2.7332006008254993e-22;100.0;Original;-0.0439;True
MR;2;ES1000;0.711;0.0011;0.7674;0.002;Reject H0;0.03;78.4934;2.8047701035838784e-24;100.0;Original;-0.0564;True
MR;3;LR01;0.7523;0.0028;0.7674;0.002;Reject H0;0.03;13.8377;4.930669702273647e-11;100.0;Original;-0.0151;True
MR;4;LR001;0.7592;0.0011;0.7674;0.002;Reject H0;0.03;11.3691;1.1977965310717911e-09;100.0;Original;-0.0082;True
MR;5;LR0001;0.7602;0.001;0.7674;0.002;Reject H0;0.03;10.34;1.324900223621346e-07;100.0;Original;-0.0072;False
MR;6;LR00001;0.7606;0.0008;0.7674;0.002;Reject H0;0.03;10.0269;4.1542253972253424e-07;100.0;Original;-0.0068;False
MR;7;DO01;0.7565;0.0012;0.7674;0.002;Reject H0;0.03;14.6564;1.8982696957006342e-11;100.0;Original;-0.0109;True
MR;8;DO02;0.7573;0.0007;0.7674;0.002;Reject H0;0.03;14.9477;8.293400856780685e-09;100.0;Original;-0.0101;False
MR;9;DO03;0.7581;0.0007;0.7674;0.002;Reject H0;0.03;13.7753;1.9859061902540107e-08;100.0;Original;-0.0093;False
MR;10;DO04;0.7586;0.0009;0.7674;0.002;Reject H0;0.03;12.5199;1.4261751672837969e-08;100.0;Original;-0.0088;False
MR;11;DO05;0.759;0.0009;0.7674;0.002;Reject H0;0.03;12.1445;3.0522257118541374e-08;100.0;Original;-0.0084;False
MR;12;DO06;0.7595;0.0006;0.7674;0.002;Reject H0;0.03;12.0322;1.823099385750624e-07;100.0;Original;-0.0079;False
MR;13;DO07;0.7603;0.0015;0.7674;0.002;Reject H0;0.03;9.0195;4.2647299800457673e-08;100.0;Original;-0.0071;True
MR;14;DO08;0.7612;0.0009;0.7674;0.002;Reject H0;0.03;8.8244;8.29908070704608e-07;99.9999;Original;-0.0062;False
MR;15;DO09;0.7612;0.0016;0.7674;0.002;Reject H0;0.03;7.669;4.449418827723102e-07;100.0;Original;-0.0062;True
MR;16;HD50;0.7593;0.0012;0.7674;0.002;Reject H0;0.03;11.0379;1.9139298982872884e-09;100.0;Original;-0.0081;True
MR;17;HD350;0.7588;0.0011;0.7674;0.002;Reject H0;0.03;12.0043;5.017209126474214e-10;100.0;Original;-0.0086;True
MR;18;HD500;0.7589;0.0011;0.7674;0.002;Reject H0;0.03;11.9216;5.608121665788346e-10;100.0;Original;-0.0085;True
Ohsumed;0;ES10;0.6869;0.0033;0.6836;0.0056;Fail to reject H0;0.03;-1.6302;0.12043042817167432;87.957;Experiment;0.0033;True
Ohsumed;1;ES100;0.6862;0.0022;0.6836;0.0056;Fail to reject H0;0.03;-1.3937;0.18941375189033535;81.0586;Experiment;0.0026;False
Ohsumed;2;ES1000;0.6713;0.0014;0.6836;0.0056;Reject H0;0.03;6.7107;4.876620717138097e-05;99.9951;Original;-0.0123;False
Ohsumed;3;LR01;0.6782;0.0045;0.6836;0.0056;Reject H0;0.03;2.3665;0.0293766808123836;97.0623;Original;-0.0054;True
Ohsumed;4;LR001;0.6864;0.0032;0.6836;0.0056;Fail to reject H0;0.03;-1.3541;0.19245055211808082;80.7549;Experiment;0.0028;True
