Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
MR;ES10;ES100;Reject H0;0.03;82.219;1.219973387603936e-24;100.0;True
MR;ES10;ES1000;Reject H0;0.03;112.4258;4.414213744433552e-27;100.0;True
MR;ES10;LR01;Reject H0;0.03;7.5306;1.4700180520852993e-05;99.9985;False
MR;ES10;LR001;Fail to reject H0;0.03;0.2554;0.8013331382215931;19.8667;True
MR;ES10;LR0001;Fail to reject H0;0.03;-2.1909;0.04186074238610017;95.8139;True
MR;ES10;LR00001;Reject H0;0.03;-3.5822;0.002130059622513818;99.787;True
MR;ES10;DO01;Reject H0;0.03;5.8909;1.4101657973049003e-05;99.9986;True
MR;ES10;DO02;Reject H0;0.03;5.5731;2.7328713415595737e-05;99.9973;True
MR;ES10;DO03;Reject H0;0.03;3.3088;0.0039046921753184477;99.6095;True
MR;ES10;DO04;Fail to reject H0;0.03;1.6234;0.1218951119050171;87.8105;True
MR;ES10;DO05;Fail to reject H0;0.03;0.7291;0.47529913637191556;52.4701;True
MR;ES10;DO06;Fail to reject H0;0.03;-0.6246;0.5400851376442363;45.9915;True
MR;ES10;DO07;Fail to reject H0;0.03;-1.9561;0.06615633616972062;93.3844;True
MR;ES10;DO08;Reject H0;0.03;-4.8934;0.00011698451945181441;99.9883;True
MR;ES10;DO09;Reject H0;0.03;-3.3752;0.003371935641669698;99.6628;True
MR;ES10;HD50;Fail to reject H0;0.03;-0.1269;0.9004048132057474;9.9595;True
MR;ES10;HD350;Fail to reject H0;0.03;1.2284;0.23512345433430204;76.4877;True
MR;ES10;HD500;Fail to reject H0;0.03;0.9845;0.33792666404819205;66.2073;True
MR;ES100;ES1000;Reject H0;0.03;25.6906;1.2298918173902277e-15;100.0;True
MR;ES100;LR01;Reject H0;0.03;-30.1686;1.883500212087125e-12;100.0;False
MR;ES100;LR001;Reject H0;0.03;-72.0795;1.2950202963290382e-23;100.0;True
MR;ES100;LR0001;Reject H0;0.03;-79.6798;2.1426374296264118e-24;100.0;True
MR;ES100;LR00001;Reject H0;0.03;-86.5445;4.858490002593434e-25;100.0;True
MR;ES100;DO01;Reject H0;0.03;-63.4064;1.2904671013739405e-22;100.0;True
MR;ES100;DO02;Reject H0;0.03;-81.2447;1.5111429872960345e-24;100.0;True
MR;ES100;DO03;Reject H0;0.03;-83.0948;1.0086324467956785e-24;100.0;True
MR;ES100;DO04;Reject H0;0.03;-76.5159;4.4340765323394575e-24;100.0;True
MR;ES100;DO05;Reject H0;0.03;-79.6049;2.1791114200781028e-24;100.0;True
MR;ES100;DO06;Reject H0;0.03;-91.7027;1.7175475039758612e-25;100.0;True
MR;ES100;DO07;Reject H0;0.03;-63.4891;1.2606524982841613e-22;100.0;True
MR;ES100;DO08;Reject H0;0.03;-82.2642;1.2079961286434386e-24;100.0;True
MR;ES100;DO09;Reject H0;0.03;-61.5663;2.1875545353701496e-22;100.0;True
MR;ES100;HD50;Reject H0;0.03;-71.0804;1.6635111445948992e-23;100.0;True
MR;ES100;HD350;Reject H0;0.03;-71.9375;1.3416462129713013e-23;100.0;True
MR;ES100;HD500;Reject H0;0.03;-73.1554;9.927190140817226e-24;100.0;True
MR;ES1000;LR01;Reject H0;0.03;-43.3804;3.488326315028356e-14;100.0;False
MR;ES1000;LR001;Reject H0;0.03;-98.3416;4.8927109821970616e-26;100.0;True
MR;ES1000;LR0001;Reject H0;0.03;-108.1278;8.894912596260149e-27;100.0;True
MR;ES1000;LR00001;Reject H0;0.03;-117.3184;2.0525098375889522e-27;100.0;True
MR;ES1000;DO01;Reject H0;0.03;-88.2174;3.44488953653343e-25;100.0;True
MR;ES1000;DO02;Reject H0;0.03;-112.8818;4.1044823954963116e-27;100.0;True
MR;ES1000;DO03;Reject H0;0.03;-114.7425;3.059278423956841e-27;100.0;True
MR;ES1000;DO04;Reject H0;0.03;-104.9819;1.5121907556538213e-26;100.0;True
MR;ES1000;DO05;Reject H0;0.03;-109.0028;7.695403329257439e-27;100.0;True
MR;ES1000;DO06;Reject H0;0.03;-125.6041;6.017602475850447e-28;100.0;True
MR;ES1000;DO07;Reject H0;0.03;-85.6756;5.823710146705465e-25;100.0;True
MR;ES1000;DO08;Reject H0;0.03;-110.8378;5.700491064404049e-27;100.0;True
MR;ES1000;DO09;Reject H0;0.03;-82.529;1.1402796049723218e-24;100.0;True
MR;ES1000;HD50;Reject H0;0.03;-96.823;6.471247294830155e-26;100.0;True
MR;ES1000;HD350;Reject H0;0.03;-98.4719;4.777680588484287e-26;100.0;True
MR;ES1000;HD500;Reject H0;0.03;-100.0843;3.568385118449083e-26;100.0;True
MR;LR01;LR001;Reject H0;0.03;-7.1814;1.2484096435611691e-05;99.9988;False
MR;LR01;LR0001;Reject H0;0.03;-8.3665;4.154435417417958e-06;99.9996;False
MR;LR01;LR00001;Reject H0;0.03;-8.9612;3.2239037373939487e-06;99.9997;False
MR;LR01;DO01;Reject H0;0.03;-4.3538;0.000885864122519371;99.9114;False
